22,*:..,,,
22,:&,,,
22,:**,,,
22,;$,,,
22,;],,,
22,-.-',,,
22,-?,,,
22,-!!,,,
21,xxxxx,,,
21,xpv,,,
21,Vov,,,
21,vooo,,,
21,O.O,,,
21,O_O,,,
21,O),,,
21,;o,,,
21,_o,,,
21,Do!,,,
21,D),,,
21,(*,,,
20,X_X,,,
20,xoxo,,,
20,xox,,,
20,vz.,,,
20,vo..,,,
20,VDO,,,
20,().,,,
20,(,,,
20,-_-',,,
19,vovo,,,
19,V...,,,
19,(p):,,,
19,OOOO,,,
19,^o^,,,
19,(//),,,
19,(--,,,
19,(~),,,
19,(~_~;),,,
19,(^^;;,,,
19,;**,,,
18,#NAME?,,,
18,Xxx,,,
18,XX,,,
18,xp,,,
18,XDD,,,
18,X:,,,
18,vpoo,,,
18,voo,,,
18,Vo',,,
18,vo!!,,,
18,V),,,
18,V?,,,
18,Ovo,,,
18,OO.,,,
18,(o,,,
18,DVO,,,
18,D!!!!!!,,,
18,-3-,,,
18,****,,,
18,()-<_),,,
18,((),,,
18,"("")",,,
18,(////),,,
18,":(""",,,
18,"-.-""",,,
18,--?,,,
18,"-___-""",,,
18,=.=,,,
17,VV,,,
17,voo!,,,
17,#NAME?,,,
17,(Po,,,
17,OD.,,,
17,-9,,,
17,:8,,,
17,"(""",,,
17,('`),,,
17,(...,,,
17,(__),,,
17,(=)(=),,,
17,(=,,,
17,(^^,,,
17,:))))),,,
17,:(((,,,
17,:?,,,
17,;_;,,,
17,-(`)/,,,
17,<-,,,
16,xpo,,,
16,VB,,,
16,Ox,,,
16,OODO,,,
16,OBO,,,
16,#NAME?,,,
16,DOOD,,,
16,(:8),,,
16,<3<3,,,
16,\\,,,
16,\(`)-,,,
16,"\""",,,
16,*---*,,,
16,(_)\('',,,
16,(_;),,,
16,:-*,,,
15,x',,,
15,(x,,,
15,voo.,,,
15,"vo""",,,
15,V!!!,,,
15,(po,,,
15,OPO,,,
15,Op,,,
15,O....,,,
15,*O*,,,
15,Doo:,,,
15,(D,,,
15,8D,,,
15,"8""",,,
15,(;`),,,
15,(--;,,,
15,(--,,,
15,(-_-;),,,
15,(^_-),,,
15,(`*),,,
15,:!,,,
15,--...,,,
15,---.,,,
14,xDDD,,,
14,x-,,,
14,(x),,,
14,vo!!!,,,
14,#NAME?,,,
14,"v.""",,,
14,v/,,,
14,(v),,,
14,(^p^),,,
14,#NAME?,,,
14,DO.,,,
14,8...,,,
14,8?,,,
14,(8',,,
14,_(:3,,,
14,(((,,,
14,((:,,,
14,(...),,,
14,(;;`),,,
14,(>-<),,,
13,xoo,,,
13,X.,,,
13,VOO,,,
13,#NAME?,,,
13,Oxo,,,
13,OVO,,,
13,OOO!,,,
13,OO,,,
13,OD:,,,
13,#NAME?,,,
13,\o,,,
13,#NAME?,,,
13,-o-,,,
13,DOD,,,
13,Do?,,,
13,D(),,,
13,:D,,,
13,(B):,,,
13,888,,,
13,;3,,,
13,(@),,,
13,()(,,,
13,()!,,,
13,(-,,,
13,(--;),,,
13,(--`),,,
13,(=^^=),,,
13,(^-^;,,,
13,^__^,,,
12,(z,,,
12,XV,,,
